"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.017115691E2,5.058422966E1,8.700752408E0,1.770122021E2,3.718905999E0,3.399452798E1,1.520156435E1,7.119977247E0
1.027115758E2,5.058426212E1,8.700787507E0,1.768240443E2,3.831089892E0,2.864711884E1,1.531229588E1,7.062076045E0
1.037115827E2,5.058429987E1,8.700820736E0,1.768710364E2,4.103283924E0,2.455646045E1,1.538989656E1,7.412698258E0
1.047115903E2,5.058433053E1,8.700851650E0,1.771361980E2,3.941255295E0,2.475492745E1,1.559773118E1,7.757915083E0
1.057115978E2,5.058435830E1,8.700868868E0,1.777080832E2,3.638903619E0,2.177641968E1,1.564570320E1,7.163768487E0
1.067116043E2,5.058439574E1,8.700886909E0,1.773252805E2,3.811540903E0,1.425438254E1,1.568600352E1,7.247704163E0
1.077116114E2,5.058441481E1,8.700890340E0,1.770641986E2,3.092844721E0,3.871904408E0,1.584589648E1,7.445029479E0
1.087116188E2,5.058445064E1,8.700882460E0,1.770130213E2,3.311678843E0,3.475406959E2,1.596240469E1,7.918945962E0
1.097116266E2,5.058448466E1,8.700869747E0,1.770432640E2,3.633936314E0,3.350578741E2,1.575278955E1,8.205014333E0
1.107116339E2,5.058452192E1,8.700863260E0,1.770086988E2,3.960452496E0,3.350067021E2,1.558163437E1,8.009770626E0
1.117116410E2,5.058455668E1,8.700863204E0,1.774125644E2,3.926539067E0,3.397686696E2,1.554606357E1,8.307776515E0
1.127116485E2,5.058458554E1,8.700838061E0,1.772239068E2,3.848939514E0,3.307560174E2,1.540706270E1,8.542824068E0
1.137116556E2,5.058461802E1,8.700823327E0,1.773097327E2,3.813697933E0,3.233747075E2,1.518984837E1,8.303100108E0
1.147116620E2,5.058464361E1,8.700791718E0,1.769133940E2,3.842403941E0,3.137709479E2,1.489360548E1,8.015388023E0
1.157116693E2,5.058465918E1,8.700751837E0,1.770610613E2,3.828169400E0,3.010210277E2,1.452988077E1,7.539704931E0
1.167116765E2,5.058467965E1,8.700717392E0,1.771952613E2,3.763585457E0,2.983091116E2,1.418894364E1,7.169819007E0
1.177116838E2,5.058468827E1,8.700677353E0,1.773962875E2,3.591468620E0,2.897234491E2,1.377567821E1,6.808909960E0
1.187116912E2,5.058469542E1,8.700632666E0,1.775825650E2,3.507065740E0,2.821941665E2,1.346564456E1,6.943581652E0
1.197116980E2,5.058469246E1,8.700598081E0,1.785107941E2,3.234068136E0,2.704522190E2,1.306011127E1,6.478103843E0
1.207129578E2,5.058468389E1,8.700562474E0,1.780779268E2,3.259743558E0,2.582032174E2,1.270947846E1,6.233231776E0
1.217130854E2,5.058468322E1,8.700517611E0,1.781862904E2,3.414732650E0,2.578684392E2,1.243679667E1,6.064119545E0
1.227130928E2,5.058467224E1,8.700471447E0,1.783395752E2,3.620874768E0,2.507413034E2,1.213733620E1,5.994935624E0
1.237134390E2,5.058466579E1,8.700429681E0,1.779974457E2,3.588167323E0,2.504709472E2,1.173671529E1,5.978858299E0
1.247131878E2,5.058464145E1,8.700408137E0,1.784403372E2,3.388292356E0,2.319712867E2,1.137940685E1,5.852289109E0
1.257131949E2,5.058461959E1,8.700356757E0,1.783641905E2,3.851663342E0,2.297298668E2,1.099486180E1,5.665555471E0
1.267136308E2,5.058459078E1,8.700304451E0,1.783026402E2,4.375864898E0,2.272939727E2,1.071695693E1,5.539138844E0
1.277125173E2,5.058456903E1,8.700259462E0,1.775538222E2,4.412957228E0,2.278727727E2,1.043261904E1,5.094644909E0
1.287125247E2,5.058454290E1,8.700218961E0,1.778669449E2,4.445854964E0,2.258637302E2,1.016953217E1,4.917471775E0
1.297130705E2,5.058451846E1,8.700183705E0,1.772803183E2,4.313629241E0,2.230364260E2,9.930087497E0,4.810795864E0
1.307134183E2,5.058449466E1,8.700141783E0,1.768571214E2,4.204095053E0,2.219938980E2,9.766732817E0,4.540586947E0
1.317134254E2,5.058446844E1,8.700122560E0,1.770622362E2,3.804032791E0,2.139781293E2,9.597989518E0,4.432162437E0
1.327131264E2,5.058444158E1,8.700079386E0,1.770278322E2,3.872340315E0,2.139144272E2,9.444544727E0,4.367648350E0
1.337131883E2,5.058441764E1,8.700038420E0,1.765259714E2,3.907162088E0,2.158687925E2,9.146274313E0,4.173914406E0
1.347131956E2,5.058440056E1,8.699998442E0,1.768666311E2,3.746976649E0,2.222390062E2,8.937858754E0,3.927502426E0
