"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.897680229E2,5.058470946E1,8.700893630E0,1.782796527E2,2.285117528E0,3.118736655E2,4.736762692E0,3.374554228E0
1.907680095E2,5.058472140E1,8.700865929E0,1.786673200E2,2.278055470E0,3.102381366E2,4.737472140E0,3.373558174E0
1.917679958E2,5.058473444E1,8.700833782E0,1.791787275E2,2.451312793E0,3.071337104E2,4.737885369E0,3.372977803E0
1.927679808E2,5.058474302E1,8.700807692E0,1.793553561E2,2.379603289E0,3.040120114E2,4.738200345E0,3.372535326E0
1.937679664E2,5.058475130E1,8.700779991E0,1.797840395E2,2.299549165E0,3.013332636E2,4.738106668E0,3.372666932E0
1.947679520E2,5.058475798E1,8.700749769E0,1.795967970E2,2.318585138E0,2.972843364E2,4.738340503E0,3.372338404E0
1.957679389E2,5.058476059E1,8.700714858E0,1.796401186E2,2.313556876E0,2.888590529E2,4.738617856E0,3.371948672E0
1.967679242E2,5.058476308E1,8.700681851E0,1.793931625E2,2.359140743E0,2.840500856E2,4.738656321E0,3.371894616E0
1.977679093E2,5.058476609E1,8.700651204E0,1.796479638E2,2.300250763E0,2.831936554E2,4.739089053E0,3.371286398E0
1.987678953E2,5.058476746E1,8.700617428E0,1.796850194E2,2.336840594E0,2.809038912E2,4.739384609E0,3.370870891E0
1.997678812E2,5.058476562E1,8.700584690E0,1.794992630E2,2.362815183E0,2.750296077E2,4.739260800E0,3.371044957E0
2.007678668E2,5.058476306E1,8.700551873E0,1.793141102E2,2.329156853E0,2.704364035E2,4.738226321E0,3.372498832E0
2.017678527E2,5.058476022E1,8.700521741E0,1.794070654E2,2.257567498E0,2.676290687E2,4.738717943E0,3.371808015E0
2.027678457E2,5.058475681E1,8.700494133E0,1.777280637E2,2.168947253E0,2.644035023E2,4.739218521E0,3.371104395E0
2.037678242E2,5.058475641E1,8.700465636E0,1.783570856E2,2.099950622E0,2.668098691E2,4.736934323E0,3.374313300E0
2.047678102E2,5.058474675E1,8.700423010E0,1.786380977E2,2.533731491E0,2.591002407E2,4.737809631E0,3.373084187E0
2.057677962E2,5.058474158E1,8.700398868E0,1.789748425E2,2.249001641E0,2.567447249E2,4.738394529E0,3.372262493E0
2.067677808E2,5.058473189E1,8.700362444E0,1.793323719E2,2.481239796E0,2.531236696E2,4.739196822E0,3.371134901E0
2.077677665E2,5.058472243E1,8.700322805E0,1.796411977E2,2.758148012E0,2.516210337E2,4.739472564E0,3.370747224E0
2.087677521E2,5.058471205E1,8.700298964E0,1.799264771E2,2.478275004E0,2.465883916E2,4.739853364E0,3.370211733E0
2.097677383E2,5.058469962E1,8.700271351E0,1.798188509E2,2.395918247E0,2.412462639E2,4.742796203E0,3.366069104E0
2.107677245E2,5.058469174E1,8.700253969E0,1.800748988E2,1.963786967E0,2.385317512E2,4.742654521E0,3.366268724E0
2.117677099E2,5.058467329E1,8.700220031E0,1.804064399E2,2.344937121E0,2.339637480E2,4.742571803E0,3.366385261E0
2.127676958E2,5.058466151E1,8.700198926E0,1.802478341E2,2.170031648E0,2.317659835E2,4.742961836E0,3.365835715E0
2.137676812E2,5.058464097E1,8.700175678E0,1.806000429E2,2.376540220E0,2.229687596E2,4.743227765E0,3.365460949E0
