"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.240268333E0,-2.354747802E-1,-2.697401345E-1,-1.169469357E-1
3.250297333E0,5.067301393E-1,8.021420240E-1,-5.338355526E-2
3.260326333E0,9.437484741E-1,1.511400223E0,3.860016167E-2
3.270356333E0,-1.157988980E-1,-5.341138840E-1,-2.124553770E-1
3.280385333E0,-1.005269960E-1,-3.306529522E-1,1.047623158E-2
3.290414333E0,-5.892253295E-2,-7.809673548E-1,8.247658610E-2
3.300443333E0,1.838027686E-1,-6.253015995E-1,1.573553532E-1
3.310472333E0,1.554791927E-1,-5.901548862E-1,4.151197672E-1
3.320502333E0,-1.565183848E-1,-9.860979915E-1,8.077179193E-1
3.330531333E0,-3.356914222E-1,-1.255278349E0,7.865361571E-1
3.340560333E0,-8.860173821E-2,-1.611875534E0,6.263616681E-1
3.350589333E0,4.758042097E-1,-8.436332345E-1,6.800925732E-1
3.360618333E0,9.130343199E-1,-3.956555575E-2,7.678765059E-1
3.370648333E0,1.252655864E0,5.388055444E-1,9.151292443E-1
3.380677333E0,1.466487646E0,1.005937815E0,1.032739162E0
3.390706333E0,1.597674370E0,1.070301890E0,9.361096621E-1
3.400735333E0,1.481634021E0,9.841797948E-1,8.057754040E-1
3.410764333E0,1.139397979E0,9.299818277E-1,6.907306910E-1
3.420794333E0,6.923565865E-1,4.044343829E-1,6.402978897E-1
3.430823333E0,3.450683653E-1,-1.460238360E-2,7.496845722E-1
3.440852333E0,2.101516724E-2,-3.959745169E-1,9.460183978E-1
3.450881333E0,-2.329119295E-1,-7.923850417E-1,1.123105884E0
3.460910333E0,-2.464767396E-1,-9.463917017E-1,1.149771571E0
3.470940333E0,-2.074212432E-1,-1.182583094E0,1.160608292E0
3.480969333E0,-8.431822062E-2,-1.552855492E0,1.146471977E0
3.490998333E0,-2.383964062E-1,-1.777846575E0,1.207283258E0
3.501027333E0,-5.063809752E-1,-1.964884877E0,1.158469915E0
3.511056333E0,-6.712980866E-1,-2.042948723E0,1.072005987E0
3.521086333E0,-7.238784432E-1,-1.602110624E0,1.040196657E0
3.531115333E0,-6.828052402E-1,-8.930910230E-1,1.126447320E0
3.541144333E0,-6.886410713E-1,-2.952744961E-1,1.110743761E0
3.551173333E0,-5.354000926E-1,-2.573927343E-1,1.034568548E0
3.561203333E0,-2.003243566E-1,-2.956540883E-1,7.766899467E-1
3.571232333E0,1.498209238E-1,-2.361512631E-1,4.477751851E-1
3.581261333E0,4.077936113E-1,-2.315852642E-1,2.252020240E-1
3.591290333E0,4.465033710E-1,-8.192943037E-2,1.205888167E-1
3.601319333E0,4.026088715E-1,7.373016793E-3,5.942106992E-2
3.611349333E0,3.690770864E-1,9.787873924E-2,2.251547575E-2
3.621378333E0,3.901400268E-1,1.394970119E-1,6.591755152E-2
3.631407333E0,3.773349822E-1,2.859571576E-1,8.730331063E-2
