"Time (s)","X (hPa)"
3.697751180E2,9.719422913E2
3.708358870E2,9.719721222E2
3.718967210E2,9.719994354E2
3.729575210E2,9.720276642E2
3.740182950E2,9.720564270E2
3.750790550E2,9.720912170E2
3.761398630E2,9.721087646E2
3.772005820E2,9.721259308E2
3.782614190E2,9.721378326E2
3.793221750E2,9.721534729E2
3.803828700E2,9.721670532E2
3.814435730E2,9.721789551E2
3.825042820E2,9.721974182E2
3.835650470E2,9.722172546E2
3.846258530E2,9.722354126E2
3.856865480E2,9.722489929E2
3.867472440E2,9.722739410E2
3.878079890E2,9.722911072E2
3.888687200E2,9.723151398E2
3.899294500E2,9.723380280E2
3.909902350E2,9.723547363E2
3.920510520E2,9.723738861E2
3.931118370E2,9.723981476E2
3.941725830E2,9.724104309E2
3.952333050E2,9.724214172E2
3.962940180E2,9.724308014E2
3.973547380E2,9.724452972E2
3.984154880E2,9.724703979E2
3.994762700E2,9.724951935E2
4.005370610E2,9.725209808E2
4.015978330E2,9.725440216E2
4.026585570E2,9.725700378E2
4.037193350E2,9.725930786E2
4.047801220E2,9.726222229E2
4.058408680E2,9.726380920E2
4.069015920E2,9.726550293E2
4.079622810E2,9.726727295E2
4.090230550E2,9.726872253E2
4.100837890E2,9.727009583E2
4.111444900E2,9.727212524E2
4.122052650E2,9.727401733E2
4.132660430E2,9.727613831E2
4.143267620E2,9.727826691E2
4.153875070E2,9.728051758E2
4.164483280E2,9.728245544E2
4.175090280E2,9.728401184E2
4.185697400E2,9.728559113E2
4.196305020E2,9.728708649E2
4.206913250E2,9.728856659E2
4.217521010E2,9.729022217E2
4.228128740E2,9.729219055E2
4.238736430E2,9.729413605E2
4.249344150E2,9.729704285E2
4.259952570E2,9.730152130E2
4.270560600E2,9.730487823E2
4.281168420E2,9.730688477E2
4.291775730E2,9.730894470E2
4.302382730E2,9.731032562E2
4.312989780E2,9.731082153E2
4.323597730E2,9.731221008E2
4.334205590E2,9.731264496E2
4.344813060E2,9.731317902E2
4.355420340E2,9.731408691E2
4.366027340E2,9.731515503E2
4.376634790E2,9.731719971E2
4.387242160E2,9.732006836E2
4.397849220E2,9.732252502E2
4.408457040E2,9.732434845E2
4.419064990E2,9.732617950E2
4.429672420E2,9.732766724E2
4.440280000E2,9.732951355E2
4.450887710E2,9.733190155E2
4.461494350E2,9.733403015E2
4.472101380E2,9.733604431E2
4.482708720E2,9.733827972E2
4.493315730E2,9.734030914E2
4.503922900E2,9.734188843E2
4.514530330E2,9.734387207E2
4.525137600E2,9.734600067E2
4.535744440E2,9.734788513E2
4.546351260E2,9.734913635E2
4.556957570E2,9.735102081E2
4.567563560E2,9.735250092E2
4.578169710E2,9.735407257E2
4.588776000E2,9.735549927E2
4.599382810E2,9.735751343E2
4.609989620E2,9.735887909E2
4.620596240E2,9.736090088E2
4.631203130E2,9.736358643E2
4.641811010E2,9.736526489E2
4.652418890E2,9.736715698E2
4.663026450E2,9.736896515E2
4.673634240E2,9.737074280E2
4.684242460E2,9.737162018E2
4.694850050E2,9.737384796E2
4.705458430E2,9.737498474E2
4.716066930E2,9.737693787E2
4.726676000E2,9.737789917E2
4.737284120E2,9.737891388E2
4.747892550E2,9.737966919E2
4.758500250E2,9.738034058E2
4.769108040E2,9.738136292E2
4.779715550E2,9.738230133E2
4.790323050E2,9.738430786E2
4.800930940E2,9.738567352E2
4.811539680E2,9.738710785E2
4.822147490E2,9.738796234E2
4.832755340E2,9.738887787E2
4.843362550E2,9.739061737E2
4.853970230E2,9.739138794E2
4.864578520E2,9.739344025E2
4.875185970E2,9.739514923E2
4.885793780E2,9.739704895E2
4.896401690E2,9.739801788E2
4.907009600E2,9.739919281E2
4.917617520E2,9.739986420E2
4.928225870E2,9.740087128E2
4.938834480E2,9.740093231E2
4.949442760E2,9.740156555E2
4.960050220E2,9.740216827E2
4.970657650E2,9.740216827E2
4.981265590E2,9.740289307E2
4.991872980E2,9.740361786E2
5.002480690E2,9.740395355E2
5.013088740E2,9.740447998E2
5.023696900E2,9.740531921E2
5.034304840E2,9.740619659E2
5.044912480E2,9.740773010E2
5.055520440E2,9.740803528E2
5.066128440E2,9.740895081E2
5.076736890E2,9.741027069E2
5.087345030E2,9.741102600E2
5.097952650E2,9.741155243E2
5.108560450E2,9.741265106E2
5.119168550E2,9.741403198E2
5.129775610E2,9.741437531E2
5.140383170E2,9.741437531E2
5.150991180E2,9.741378021E2
5.161599040E2,9.741325378E2
5.172206660E2,9.741325378E2
5.182814690E2,9.741349030E2
5.193422540E2,9.741413116E2
5.204030170E2,9.741455841E2
5.214637620E2,9.741489410E2
5.225245070E2,9.741516876E2
5.235852740E2,9.741542816E2
5.246460120E2,9.741584778E2
5.257067260E2,9.741663361E2
5.267674180E2,9.741757965E2
5.278280850E2,9.741757965E2
5.288887660E2,9.741739655E2
5.299495300E2,9.741685486E2
5.310102190E2,9.741615295E2
5.320709320E2,9.741559601E2
5.331316250E2,9.741519165E2
5.341923790E2,9.741451263E2
5.352531120E2,9.741436005E2
5.363138190E2,9.741405487E2
5.373745600E2,9.741366577E2
