"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.689023962E2,5.058549093E1,8.693667440E0,1.799161951E2,2.228778732E0,6.399692728E1,6.831263043E0,4.334418088E0
1.699023807E2,5.058549292E1,8.693705849E0,1.798372878E2,2.389163437E0,6.862501161E1,6.783384422E0,4.346399962E0
1.709023641E2,5.058549164E1,8.693753540E0,1.800193021E2,2.605324883E0,7.511219888E1,6.815409998E0,4.453046317E0
1.719023479E2,5.058549800E1,8.693797547E0,1.801886542E2,2.705161658E0,7.629299914E1,6.877905415E0,4.529386118E0
1.729023315E2,5.058550557E1,8.693827709E0,1.806202810E2,2.488611846E0,7.410816807E1,6.828989199E0,4.540216907E0
1.739023159E2,5.058551303E1,8.693869883E0,1.819645141E2,2.600818541E0,7.508489029E1,6.847748607E0,4.398894092E0
1.749042062E2,5.058551834E1,8.693900219E0,1.816462313E2,2.533502141E0,7.550812180E1,7.092994292E0,4.363256318E0
1.759042151E2,5.058552352E1,8.693939922E0,1.821784352E2,2.591939321E0,7.676098557E1,7.154467794E0,4.391745603E0
1.769041977E2,5.058552519E1,8.693973460E0,1.827969699E2,2.633694767E0,7.939873875E1,6.994384950E0,4.347231391E0
1.779042028E2,5.058552720E1,8.694008901E0,1.823792541E2,2.529193533E0,8.045544334E1,7.147636140E0,4.412996764E0
1.789042156E2,5.058552708E1,8.694038281E0,1.825335729E2,2.377711285E0,8.331487975E1,7.257118615E0,4.463133970E0
1.799042002E2,5.058554162E1,8.694074129E0,1.823879064E2,2.399809528E0,7.641244915E1,7.349521175E0,4.327101961E0
1.809042128E2,5.058554684E1,8.694119174E0,1.817590316E2,2.544912261E0,7.506967622E1,7.487394565E0,4.382827262E0
1.819042168E2,5.058556264E1,8.694147649E0,1.814889023E2,2.416591501E0,7.134268581E1,7.385092671E0,4.352757117E0
1.829041985E2,5.058558312E1,8.694184244E0,1.810915333E2,2.511530953E0,6.559390378E1,7.505621642E0,4.391419258E0
1.839042078E2,5.058559521E1,8.694211666E0,1.803359057E2,2.323100795E0,6.302288778E1,7.477417592E0,4.438964867E0
1.849042144E2,5.058559516E1,8.694251994E0,1.818753499E2,2.255437705E0,7.374011697E1,7.395830845E0,4.418406032E0
1.859041967E2,5.058560161E1,8.694292748E0,1.825164500E2,2.545420608E0,7.679831193E1,7.446461827E0,4.482645939E0
1.869042032E2,5.058561085E1,8.694340135E0,1.821688989E2,2.877392739E0,7.753078303E1,7.664884725E0,4.673189506E0
1.879042150E2,5.058561884E1,8.694362478E0,1.829746667E2,2.319538719E0,7.306980750E1,7.711273934E0,4.663254335E0
1.889041961E2,5.058562816E1,8.694393508E0,1.833238414E2,2.166353764E0,6.950550178E1,7.690233016E0,4.750950426E0
1.899041758E2,5.058563016E1,8.694418411E0,1.826970685E2,2.007878668E0,7.298918587E1,7.655430594E0,4.880966592E0
1.909041557E2,5.058563963E1,8.694448066E0,1.820154766E2,2.218219958E0,7.127380087E1,7.518546587E0,4.877248086E0
1.919041349E2,5.058565231E1,8.694483447E0,1.827636380E2,2.535967006E0,6.656882359E1,7.305410900E0,4.792640471E0
1.929041150E2,5.058565605E1,8.694495713E0,1.832679822E2,1.924205798E0,6.851607206E1,7.088315581E0,4.708599773E0
1.939040943E2,5.058567091E1,8.694526873E0,1.829761641E2,2.380564772E0,6.567757527E1,6.910353666E0,4.494682671E0
1.949040753E2,5.058568435E1,8.694566701E0,1.833021470E2,2.562355082E0,6.717910273E1,6.783145454E0,4.616784013E0
