"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.259096000E0,1.124862283E-1,-3.907662332E-1,-3.546523303E-2
2.269125000E0,1.311510652E-1,-4.648821056E-1,-3.874564543E-2
2.279155000E0,1.993722022E-1,-5.006595254E-1,-7.572815567E-2
2.289184000E0,2.684146762E-1,-5.402163267E-1,-1.035974994E-1
2.299213000E0,2.999656796E-1,-5.663747191E-1,-1.131779552E-1
2.309243000E0,3.033882082E-1,-5.733268261E-1,-1.023541912E-1
2.319272000E0,3.147820234E-1,-5.798105597E-1,-5.772307888E-2
2.329301000E0,3.403184712E-1,-5.967851281E-1,-6.862068549E-3
2.339331000E0,3.471257687E-1,-5.630090237E-1,3.617541492E-2
2.349360000E0,3.168816268E-1,-4.945383668E-1,6.844061613E-2
2.359389000E0,2.502589226E-1,-4.276839793E-1,8.122298867E-2
2.369419000E0,1.811300069E-1,-3.674175739E-1,7.152830064E-2
2.379448000E0,1.141592264E-1,-2.853970230E-1,4.531747475E-2
2.389477000E0,4.518109933E-2,-1.900787055E-1,1.099173166E-2
2.399507000E0,-2.838100120E-2,-1.039552763E-1,-2.805420384E-2
2.409536000E0,-7.116517425E-2,-3.878710046E-2,-5.107646435E-2
2.419565000E0,-7.535831630E-2,1.173279993E-2,-4.849852249E-2
2.429595000E0,-5.032330006E-2,1.281615999E-2,-2.679213323E-2
2.439624000E0,1.987574622E-3,-2.590226009E-3,-5.266866647E-3
2.449653000E0,5.468035489E-2,1.300225034E-2,1.105561946E-2
2.459683000E0,7.444180548E-2,2.640954684E-3,1.682003215E-2
2.469712000E0,7.342104614E-2,3.723966330E-2,1.568113081E-2
2.479741000E0,5.660371482E-2,1.219454929E-1,-5.981553346E-3
2.489771000E0,1.280695107E-2,2.809917927E-1,-3.811019659E-2
2.499800000E0,-4.518391564E-2,3.263622224E-1,-4.573828727E-2
2.509829000E0,-4.939832911E-2,3.683836162E-1,3.424612433E-2
2.519859000E0,-3.328434378E-2,4.859941304E-1,1.486211717E-1
2.529888000E0,-4.617261887E-2,5.121041536E-1,2.319412678E-1
2.539917000E0,-7.456244528E-2,4.486716390E-1,2.598461509E-1
2.549947000E0,-1.121544167E-1,4.027104080E-1,2.560232878E-1
2.559976000E0,-1.592172682E-1,4.053943455E-1,2.423900366E-1
