"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.932781250E0,3.262482584E-2,-9.292056412E-2,-4.458156973E-2
1.942809250E0,9.069931507E-2,-5.110441148E-2,-2.194789797E-2
1.952837250E0,1.684530228E-1,-5.875006318E-2,1.247100346E-2
1.962866250E0,2.270596176E-1,-8.879425377E-2,5.749680102E-2
1.972894250E0,2.403623313E-1,-1.029468328E-1,1.025946960E-1
1.982923250E0,1.897590756E-1,-9.802956879E-2,1.374645233E-1
1.992951250E0,1.029960439E-1,-6.862318516E-2,1.363763809E-1
2.002980250E0,1.982392743E-2,3.915840760E-2,7.543339580E-2
2.013008250E0,-9.920175374E-2,1.808913350E-1,8.170815185E-3
2.023036250E0,-1.925154477E-1,2.293632627E-1,-1.814973913E-2
2.033065250E0,-2.346075773E-1,2.011852115E-1,-1.112548821E-2
2.043093250E0,-2.305784822E-1,1.347452104E-1,-1.064798236E-2
2.053122250E0,-2.010800838E-1,8.699326217E-2,-2.325261757E-2
2.063150250E0,-1.365160048E-1,6.580621749E-2,-4.255840555E-2
2.073179250E0,-4.405471310E-2,4.657369480E-2,-4.296375811E-2
2.083207250E0,3.704466671E-2,5.359413568E-3,-3.049324080E-2
2.093235250E0,1.074666530E-1,-4.123950377E-2,-3.083150368E-3
2.103264250E0,1.303860843E-1,-8.089344203E-2,2.384566888E-2
2.113292250E0,1.198261827E-1,-7.320451736E-2,4.602735862E-2
2.123321250E0,7.706087828E-2,-2.927035280E-2,5.022023991E-2
2.133349250E0,2.524492517E-2,4.237901419E-2,2.982126549E-2
2.143378250E0,-1.388356648E-2,1.042011082E-1,-1.432793564E-3
2.153406250E0,-3.106717207E-2,1.337228417E-1,-1.697926596E-2
2.163435250E0,-4.988533258E-2,1.147305071E-1,-1.703625917E-2
2.173463250E0,-7.526972145E-2,7.997982204E-2,-1.874126121E-2
2.183491250E0,-9.965575486E-2,5.500523001E-2,-2.596348710E-2
2.193520250E0,-8.484611660E-2,3.575166687E-2,-3.375311941E-2
2.203548250E0,-4.276631400E-2,1.575505175E-2,-1.772674918E-2
2.213577250E0,2.617909759E-2,-2.606459707E-2,-3.866876243E-3
2.223605250E0,8.340590447E-2,-6.156427041E-2,5.532484036E-3
2.233634250E0,1.016926318E-1,-9.208512306E-2,2.049723826E-2
2.243662250E0,7.473105192E-2,-8.127561212E-2,2.709175833E-2
2.253690250E0,5.486525968E-2,-1.478294097E-2,3.762306646E-2
2.263719250E0,3.775445372E-2,5.102510005E-2,5.319163948E-2
2.273747250E0,4.255902767E-2,7.850819826E-2,7.793873549E-2
2.283776250E0,5.415283144E-2,6.759110093E-2,9.651188552E-2
2.293804250E0,5.273823813E-2,5.496073887E-2,9.340225160E-2
2.303833250E0,3.407001123E-2,5.554210767E-2,8.243615180E-2
2.313861250E0,-7.987534627E-4,8.269977570E-2,5.577748269E-2
2.323890250E0,-6.041281670E-2,1.258959919E-1,2.723345533E-2
2.333918250E0,-1.227520406E-1,1.675953269E-1,-1.307552913E-3
2.343946250E0,-1.696021110E-1,1.871922016E-1,-2.156781591E-2
2.353975250E0,-1.813501716E-1,1.916250139E-1,-4.952819273E-2
2.364003250E0,-1.737140864E-1,1.993708163E-1,-7.550945878E-2
2.374032250E0,-1.683278978E-1,2.164507955E-1,-9.773160517E-2
2.384060250E0,-1.667750180E-1,2.141482234E-1,-1.124943048E-1
2.394089250E0,-1.731172800E-1,2.032672018E-1,-1.235201433E-1
2.404117250E0,-1.662378013E-1,1.931168288E-1,-1.065917611E-1
2.414146250E0,-1.248523965E-1,1.532941759E-1,-8.142051846E-2
2.424174250E0,-6.267238408E-2,1.245216578E-1,-7.681271434E-2
2.434202250E0,-6.195539143E-3,1.155218557E-1,-7.025045156E-2
2.444231250E0,1.826213300E-2,1.062908024E-1,-5.314017087E-2
2.454259250E0,1.731127501E-2,7.989147305E-2,-2.225606702E-2
2.464288250E0,1.881184988E-3,2.319543436E-2,6.302606780E-3
2.474316250E0,7.071822882E-3,-5.001532845E-3,1.418299414E-2
2.484345250E0,3.794451803E-2,-6.304862909E-4,6.697646808E-3
2.494373250E0,5.418106169E-2,2.187261730E-2,5.869864952E-3
2.504402250E0,3.699062392E-2,2.823943645E-2,1.297304779E-2
2.514430250E0,7.072504610E-3,3.349122405E-2,1.822428592E-2
2.524458250E0,-1.476594899E-2,3.216763213E-2,3.377528116E-2
2.534487250E0,-2.941029519E-2,5.515731405E-3,4.550548270E-2
2.544515250E0,-3.514061868E-2,-2.340193838E-2,3.114145994E-2
2.554544250E0,-4.730967432E-2,-2.154234238E-2,2.120199613E-2
2.564572250E0,-5.593618751E-2,-1.645517349E-2,3.082852438E-2
2.574601250E0,-8.032806218E-2,9.438218549E-3,4.596810043E-2
2.584629250E0,-1.216422096E-1,4.279777408E-2,5.925434455E-2
2.594658250E0,-1.502387226E-1,6.667673588E-2,6.925234199E-2
2.604686250E0,-1.244649068E-1,5.047219619E-2,8.295696974E-2
2.614714250E0,-8.155946434E-2,9.715463035E-3,9.127795696E-2
2.624743250E0,-5.909144133E-2,-1.654863358E-2,9.807620943E-2
2.634771250E0,-4.813086241E-2,-4.021709412E-2,9.519186616E-2
2.644800250E0,-3.838130087E-2,-6.828308105E-2,8.708573878E-2
2.654828250E0,-5.521634594E-2,-4.622656479E-2,8.510319144E-2
2.664857250E0,-7.423531264E-2,-3.514275700E-2,9.414355457E-2
2.674885250E0,-8.117672056E-2,-4.768105224E-2,9.623233974E-2
2.684914250E0,-7.677291334E-2,-2.260685712E-2,9.535136819E-2
2.694942250E0,-6.728699803E-2,1.683562249E-2,1.053997353E-1
2.704970250E0,-5.590704456E-2,4.537592083E-2,1.169842184E-1
2.714999250E0,-5.694903806E-2,7.390533388E-2,1.058362499E-1
2.725027250E0,-6.940278411E-2,8.582057804E-2,9.425949305E-2
2.735056250E0,-7.359533757E-2,8.538996428E-2,9.722938389E-2
2.745084250E0,-6.133441254E-2,6.070539355E-2,1.002582014E-1
2.755113250E0,-5.736169219E-2,5.347529426E-2,9.881022573E-2
2.765141250E0,-5.671241134E-2,5.555442348E-2,1.024755388E-1
2.775168750E0,-6.635600328E-2,5.469146743E-2,9.456314147E-2
2.785196750E0,-9.552481025E-2,7.901678234E-2,7.608745992E-2
2.795225750E0,-1.286943406E-1,1.058136374E-1,4.983794689E-2
2.805253750E0,-1.295015365E-1,1.140902117E-1,3.253432363E-2
2.815281750E0,-8.361014724E-2,9.417299181E-2,1.036135666E-2
2.825310750E0,-3.928262740E-2,6.454186141E-2,2.963628620E-3
2.835338750E0,-2.067395672E-2,3.348970041E-2,5.555700511E-3
2.845367750E0,-1.495215483E-2,1.046480890E-2,1.696761139E-2
2.855395750E0,2.101343125E-5,-1.768424548E-2,3.691173717E-2
