"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.784267083E0,1.437132806E-1,9.052354097E-1,1.594339967E0
1.794298083E0,3.845412135E-1,1.311074376E0,1.689088702E0
1.804329083E0,5.262584090E-1,1.608536959E0,1.453666329E0
1.814359083E0,6.705245972E-1,1.750028491E0,1.380273700E0
1.824390083E0,5.851942301E-1,1.418115020E0,1.231532216E0
1.834421083E0,4.797984064E-1,1.153869987E0,1.165685534E0
1.844452083E0,5.630837083E-1,1.001826644E0,1.038553596E0
1.854482083E0,5.816138387E-1,9.987673759E-1,9.308430552E-1
1.864513083E0,4.793753028E-1,1.039238691E0,8.977327943E-1
1.874544083E0,3.987025321E-1,1.058915854E0,9.451229572E-1
1.884575083E0,3.796888888E-1,1.132260323E0,9.638295174E-1
1.894606083E0,3.744504154E-1,1.070860863E0,1.074121714E0
1.904636083E0,3.870421052E-1,1.010259628E0,1.118310452E0
1.914667083E0,3.083280325E-1,1.025692821E0,1.185453534E0
1.924698083E0,4.160957932E-1,1.088109612E0,1.203731894E0
1.934729083E0,3.577317297E-1,1.134257317E0,1.048931003E0
1.944760083E0,2.157453150E-1,1.570255399E0,1.099862695E0
1.954790083E0,-1.656922996E-1,1.637128234E0,1.145097971E0
1.964821083E0,-1.937577575E-1,1.848291636E0,8.510780334E-1
1.974852083E0,-2.695021629E-1,1.932796597E0,8.190228939E-1
1.984883083E0,-2.617062926E-1,1.528780341E0,7.396278977E-1
1.994913083E0,-2.070066780E-1,8.312894702E-1,5.483409762E-1
2.004944083E0,-2.311703414E-1,3.913568556E-1,9.017847478E-2
2.014975083E0,-3.688241839E-1,1.766345352E-1,-1.077057123E-1
2.025006083E0,-6.877345443E-1,-4.655758440E-1,-3.815106452E-1
2.035037083E0,-9.649779201E-1,-9.632903337E-1,-2.840079069E-1
2.045067083E0,-1.135487080E0,-8.316188455E-1,-3.926039040E-1
2.055098083E0,-1.407324314E0,-3.774266541E-1,-2.204272151E-1
2.065129083E0,-1.524276853E0,-2.334976941E-1,1.488036156E0
2.075160083E0,-8.384880424E-1,-3.341376781E-1,9.705148935E-1
