"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.565970209E2,5.058436110E1,8.699763670E0,1.815840007E2,2.371731455E0,2.233921627E2,4.718160137E0,3.400514954E0
1.575969930E2,5.058434323E1,8.699737614E0,1.816726004E2,2.409494155E0,2.230005101E2,4.717630689E0,3.401249435E0
1.585969594E2,5.058432678E1,8.699713800E0,1.816723348E2,2.367416939E0,2.225759485E2,4.717983045E0,3.400760653E0
1.595969317E2,5.058431052E1,8.699688130E0,1.817022287E2,2.350089098E0,2.235269872E2,4.717781228E0,3.401040623E0
1.605969003E2,5.058429527E1,8.699665010E0,1.814563049E2,2.300684156E0,2.235092347E2,4.717668470E0,3.401197030E0
1.615968717E2,5.058427696E1,8.699638555E0,1.815192878E2,2.423863166E0,2.233313530E2,4.717758412E0,3.401072272E0
1.625968444E2,5.058426199E1,8.699615089E0,1.815715138E2,2.308384011E0,2.240708875E2,4.718073564E0,3.400635070E0
1.635968182E2,5.058424509E1,8.699588602E0,1.817397021E2,2.372331475E0,2.251929005E2,4.718484293E0,3.400065148E0
1.645967933E2,5.058422956E1,8.699560934E0,1.818965371E2,2.407980066E0,2.269799548E2,4.719007411E0,3.399339066E0
1.655967740E2,5.058421221E1,8.699532362E0,1.817837990E2,2.495103704E0,2.270880665E2,4.719193597E0,3.399080585E0
1.665967505E2,5.058419425E1,8.699510768E0,1.820444675E2,2.376624088E0,2.229743364E2,4.718775216E0,3.399661379E0
1.675967265E2,5.058417721E1,8.699484639E0,1.818111835E2,2.412679715E0,2.251038843E2,4.718672219E0,3.399804336E0
1.685967028E2,5.058416227E1,8.699462780E0,1.818466632E2,2.292923801E0,2.246221794E2,4.716500614E0,3.402816332E0
1.695966808E2,5.058414464E1,8.699436231E0,1.816189746E2,2.407934312E0,2.248451904E2,4.716574629E0,3.402713741E0
1.705966609E2,5.058412529E1,8.699409864E0,1.817394151E2,2.504312381E0,2.240567483E2,4.716112661E0,3.403353993E0
1.715966406E2,5.058410821E1,8.699389990E0,1.818736111E2,2.351805750E0,2.210002539E2,4.716167736E0,3.403277672E0
1.725966204E2,5.058409427E1,8.699367551E0,1.828902703E2,2.226508449E0,2.226073309E2,4.716892717E0,3.402272788E0
1.735966023E2,5.058407683E1,8.699338872E0,1.816394350E2,2.394528712E0,2.254417972E2,4.716735500E0,3.402490743E0
1.745965840E2,5.058405836E1,8.699319516E0,1.816735469E2,2.362763384E0,2.214284685E2,4.715894307E0,3.403656552E0
1.755965657E2,5.058403795E1,8.699299993E0,1.814720748E2,2.388801078E0,2.165528629E2,4.715842034E0,3.403728976E0
1.765965483E2,5.058402006E1,8.699285362E0,1.814106965E2,2.263719410E0,2.132373655E2,4.715849628E0,3.403718455E0
1.775965298E2,5.058400030E1,8.699277211E0,1.817016582E2,2.195036023E0,2.051018319E2,4.714937886E0,3.404981317E0
1.785965179E2,5.058397911E1,8.699263790E0,1.813109404E2,2.271816945E0,2.035051113E2,4.714619581E0,3.405422035E0
1.795964980E2,5.058395711E1,8.699250990E0,1.812045059E2,2.309555259E0,2.018339869E2,4.714509437E0,3.405574518E0
1.805964807E2,5.058393432E1,8.699242096E0,1.810731158E2,2.368254445E0,1.976137763E2,4.714235183E0,3.405954150E0
1.815964702E2,5.058391097E1,8.699239052E0,1.810321071E2,2.359312289E0,1.919504117E2,4.713621982E0,3.406802731E0
1.825964490E2,5.058388657E1,8.699233985E0,1.811877965E2,2.437976578E0,1.899331826E2,4.712016337E0,3.409023185E0
1.835964341E2,5.058386636E1,8.699230269E0,1.809916663E2,2.309290782E0,1.877928277E2,4.710589480E0,3.410994545E0
1.845964216E2,5.058384426E1,8.699230655E0,1.806200916E2,2.304785891E0,1.827724407E2,4.707343633E0,3.415472581E0
1.855964041E2,5.058382368E1,8.699234198E0,1.804715260E2,2.252009372E0,1.777711746E2,4.694522202E0,3.433074180E0
1.865963893E2,5.058380130E1,8.699240592E0,1.803083190E2,2.284919251E0,1.725790112E2,4.693829963E0,3.434020576E0
1.875963748E2,5.058377836E1,8.699248247E0,1.800856615E2,2.337853243E0,1.697616785E2,4.692337534E0,3.436059590E0
