"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.989039917E0,-5.900858715E-2,6.179428194E-3,-5.971449427E-4
1.999069917E0,-4.992480949E-2,3.350086045E-3,2.306233160E-3
2.009099917E0,-4.594631493E-2,9.614640847E-3,3.834887408E-3
2.019129917E0,-5.675183982E-2,2.032527328E-2,9.092003107E-3
2.029159917E0,-7.830772549E-2,2.710381523E-2,1.246569585E-2
2.039189917E0,-9.777685255E-2,2.135780826E-2,2.055872604E-2
2.049219917E0,-1.092915609E-1,1.735507697E-2,2.825313248E-2
2.059249917E0,-1.055152491E-1,5.475478712E-3,2.987829968E-2
2.069279917E0,-1.055301651E-1,-1.409463584E-5,3.292948380E-2
2.079309917E0,-9.857367724E-2,-7.614271715E-3,2.984372154E-2
2.089339917E0,-8.598092198E-2,-7.000413258E-3,2.413230762E-2
2.099369917E0,-7.139056921E-2,-9.571380913E-3,1.983738318E-2
2.109399917E0,-6.382372975E-2,-2.019260079E-2,1.714306325E-2
2.119429917E0,-6.477420032E-2,-2.507089451E-2,1.812428795E-2
2.129459917E0,-8.153080940E-2,-3.126380965E-2,1.955440454E-2
2.139489917E0,-9.328898042E-2,-2.632233500E-2,1.657192595E-2
2.149519917E0,-9.461310506E-2,-3.111069836E-2,1.052441914E-2
2.159549917E0,-7.150259614E-2,-3.905020654E-2,9.033258073E-3
2.169579917E0,-4.261315614E-2,-4.398717359E-2,7.981043309E-3
2.179609917E0,-2.348327637E-2,-4.852546006E-2,1.072803326E-2
2.189639917E0,-1.517315023E-2,-6.025135517E-2,1.663226262E-2
2.199669917E0,-2.528407052E-2,-6.578678638E-2,1.946351118E-2
2.209699917E0,-3.634311259E-2,-7.053919882E-2,2.513391338E-2
2.219729917E0,-3.744022921E-2,-5.352147296E-2,2.487731352E-2
2.229759917E0,-3.687457368E-2,-3.375682235E-2,2.607946470E-2
2.239789917E0,-3.155531734E-2,-1.430789195E-2,2.114438824E-2
