"Time (s)","X (hPa)"
1.591102378E2,9.724571991E2
1.601108118E2,9.724379730E2
1.611113908E2,9.724342346E2
1.621119618E2,9.723985291E2
1.631125388E2,9.723806000E2
1.641131178E2,9.723796844E2
1.651136908E2,9.723493958E2
1.661142658E2,9.723287201E2
1.671148438E2,9.723210144E2
1.681154198E2,9.723112488E2
1.691159958E2,9.722785950E2
1.701165698E2,9.722527313E2
1.711171468E2,9.722496796E2
1.721177228E2,9.722193146E2
1.731183038E2,9.721866608E2
1.741188748E2,9.721659851E2
1.751194508E2,9.721573639E2
1.761200308E2,9.721240997E2
1.771206028E2,9.721086121E2
1.781211818E2,9.721081543E2
1.791219998E2,9.720883179E2
1.801223328E2,9.720542908E2
1.811229078E2,9.720452118E2
1.821234848E2,9.720309448E2
1.831240668E2,9.720055389E2
1.841246388E2,9.719996643E2
1.851252148E2,9.719827271E2
1.861257928E2,9.719805145E2
1.871263638E2,9.719552612E2
1.881269408E2,9.719541931E2
1.891275198E2,9.719525909E2
1.901280928E2,9.719262695E2
1.911286708E2,9.719049835E2
1.921292488E2,9.718993378E2
1.931298228E2,9.718772888E2
1.941304048E2,9.718427277E2
1.951309758E2,9.718205261E2
1.961315518E2,9.718173981E2
1.971321328E2,9.718019867E2
1.981329498E2,9.717722321E2
1.991332818E2,9.717630768E2
2.001338578E2,9.717620850E2
2.011344328E2,9.717285156E2
2.021350098E2,9.716931152E2
2.031355828E2,9.716822052E2
2.041361608E2,9.716799927E2
2.051367388E2,9.716554260E2
2.061373148E2,9.716441345E2
2.071378958E2,9.716402435E2
2.081384678E2,9.716386414E2
2.091390438E2,9.716060638E2
2.101396268E2,9.715937042E2
2.111401958E2,9.715921783E2
2.121407698E2,9.715669250E2
2.131413528E2,9.715200806E2
2.141421928E2,9.715087128E2
2.151425078E2,9.715043640E2
2.161430798E2,9.714797211E2
2.171436538E2,9.714614105E2
2.181442298E2,9.714600372E2
2.191448098E2,9.714600372E2
2.201453848E2,9.714347076E2
2.211459598E2,9.714157104E2
2.221465378E2,9.714138794E2
2.231471118E2,9.713820648E2
2.241476838E2,9.713530731E2
2.251482638E2,9.713342285E2
2.261488418E2,9.713277435E2
2.271494178E2,9.713003540E2
2.281499928E2,9.712958527E2
2.291505728E2,9.712907410E2
2.301511478E2,9.712668610E2
2.311517268E2,9.712455750E2
2.321522998E2,9.712449646E2
2.331528738E2,9.712285614E2
2.341534538E2,9.712042236E2
2.351540278E2,9.712010956E2
2.361546048E2,9.711911774E2
2.371551788E2,9.711724854E2
2.381557578E2,9.711724854E2
2.391563318E2,9.711657715E2
2.401569078E2,9.711611938E2
2.411574818E2,9.711370087E2
2.421580578E2,9.711304474E2
2.431586338E2,9.711086273E2
2.441592098E2,9.710604095E2
2.451597908E2,9.710604095E2
2.461603678E2,9.710501862E2
2.471609398E2,9.710314941E2
2.481615178E2,9.710314941E2
2.491620908E2,9.710379791E2
2.501626718E2,9.710379791E2
2.511632438E2,9.710190582E2
2.521638198E2,9.710054016E2
2.531643988E2,9.710035706E2
2.541649738E2,9.709769440E2
2.551655528E2,9.709667206E2
2.561661258E2,9.709624481E2
2.571667028E2,9.709385681E2
2.581672778E2,9.709380341E2
2.591678588E2,9.709380341E2
2.601684298E2,9.709380341E2
2.611690078E2,9.709401703E2
2.621695828E2,9.709401703E2
2.631701618E2,9.709401703E2
2.641707388E2,9.709175873E2
2.651713158E2,9.708974457E2
2.661718918E2,9.708974457E2
