id,Run3,distance,angle,Z_1
,Run3,351,205.769327624306,160.928009033203
,Run3,352,205.769327624306,160.916000366211
,Run3,353,205.769327624306,160.919006347656
,Run3,354,205.769327624306,160.777008056641
,Run3,355,205.769327624306,160.81201171875
,Run3,356,205.769327624306,160.81201171875
,Run3,357,205.769327624306,160.778015136719
,Run3,358,205.769327624306,160.746002197266
,Run3,359,205.769327624306,160.602005004883
,Run3,360,205.769327624306,160.569000244141
,Run3,361,205.769327624306,160.563003540039
,Run3,362,203.198590513591,160.533004760742
,Run3,363,203.198590513591,160.526000976562
,Run3,364,203.198590513591,160.504013061523
,Run3,365,203.198590513591,160.503005981445
,Run3,366,203.198590513591,160.503005981445
,Run3,367,203.198590513591,160.481002807617
,Run3,368,203.198590513591,160.46501159668
,Run3,369,203.198590513591,160.450012207031
,Run3,370,203.198590513591,160.423004150391
,Run3,371,203.198590513591,160.402008056641
,Run3,372,203.198590513591,160.40901184082
,Run3,373,203.198590513591,160.419006347656
,Run3,374,203.198590513591,160.369003295898
,Run3,375,203.198590513591,160.343002319336
,Run3,376,203.198590513591,160.348007202148
,Run3,377,203.198590513591,160.303009033203
,Run3,378,203.198590513591,160.334014892578
,Run3,379,203.198590513591,160.301010131836
,Run3,380,203.198590513591,160.307006835938
,Run3,381,203.198590513591,160.336013793945
,Run3,382,203.198590513591,160.276000976562
,Run3,383,203.198590513591,160.309005737305
,Run3,384,203.198590513591,160.247009277344
,Run3,385,203.198590513591,160.259002685547
,Run3,386,203.198590513591,160.267013549805
,Run3,387,203.198590513591,160.243011474609
,Run3,388,203.198590513591,160.259002685547
,Run3,389,203.198590513591,160.281005859375
,Run3,390,203.198590513591,160.230010986328
,Run3,391,203.198590513591,160.230010986328
,Run3,392,203.198590513591,160.211013793945
,Run3,393,203.198590513591,160.231002807617
,Run3,394,203.198590513591,160.235000610352
,Run3,395,203.198590513591,160.188003540039
,Run3,396,203.198590513591,160.204010009766
,Run3,397,203.198590513591,160.163009643555
