"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.450668916E2,5.058424856E1,8.699556387E0,1.766911174E2,3.109735832E0,2.269089419E2,4.913948307E0,4.633275766E0
1.460668741E2,5.058422514E1,8.699520142E0,1.769205662E2,3.205196688E0,2.268422012E2,4.878030747E0,4.641327963E0
1.470668563E2,5.058419850E1,8.699489965E0,1.768528224E2,3.301588284E0,2.225574519E2,4.819559498E0,4.568333412E0
1.480668396E2,5.058417294E1,8.699456348E0,1.767103237E2,3.317471559E0,2.225601071E2,4.772147356E0,4.573472640E0
1.490668218E2,5.058414674E1,8.699421641E0,1.760997010E2,3.372837261E0,2.226391777E2,4.782019926E0,4.632294699E0
1.500668043E2,5.058413109E1,8.699386126E0,1.753339818E2,3.075337324E0,2.307545776E2,4.690710074E0,4.539703259E0
1.510667864E2,5.058410333E1,8.699355558E0,1.756125960E2,3.130505051E0,2.256058304E2,4.695342523E0,4.627941512E0
1.520667697E2,5.058407514E1,8.699322040E0,1.762102438E2,3.272940150E0,2.208412436E2,4.646875965E0,4.582701047E0
1.530667516E2,5.058405451E1,8.699296338E0,1.764357833E2,3.029770014E0,2.209784464E2,4.569631201E0,4.555848467E0
1.540667337E2,5.058403312E1,8.699270335E0,1.758101851E2,2.737480287E0,2.205248136E2,4.681726131E0,4.652879892E0
1.550667164E2,5.058400107E1,8.699247331E0,1.756172007E2,2.896041003E0,2.115609520E2,4.628181222E0,4.703088806E0
1.560666990E2,5.058396775E1,8.699229950E0,1.758667021E2,3.085443243E0,2.048029500E2,4.674620443E0,4.664711515E0
1.570666817E2,5.058394223E1,8.699219329E0,1.760726158E2,2.929573113E0,2.002587091E2,4.580426393E0,4.436021284E0
1.580666643E2,5.058390635E1,8.699216236E0,1.758785152E2,3.120609911E0,1.921763834E2,4.644801265E0,4.533677462E0
1.590666463E2,5.058387577E1,8.699212306E0,1.756939396E2,3.067910384E0,1.897298736E2,4.576003942E0,4.406062472E0
1.600666295E2,5.058384509E1,8.699212324E0,1.757731829E2,3.092268765E0,1.865013438E2,4.561334070E0,4.447748149E0
